Temperature (C)	Pressure (psia)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-75.566	30.000	1191.8	0.00083907	22.125	22.299	0.11625	0.94231	1.7331	1051.7	-0.0029461	undefined	undefined	0.020682	5.7942	0.17259	345.90	381.60	1.9347	0.62174	0.85985	216.86	0.43911	undefined	undefined
-69.758	40.000	1173.9	0.00085189	32.187	32.422	0.16645	0.93656	1.7434	1014.7	-0.0027614	undefined	undefined	0.019339	7.5830	0.13187	348.27	384.64	1.8982	0.63886	0.88905	218.28	0.40341	undefined	undefined
-64.978	50.000	1158.8	0.00086295	40.508	40.805	0.20691	0.93230	1.7538	984.32	-0.0025878	undefined	undefined	0.018248	9.3508	0.10694	350.13	387.00	1.8699	0.65339	0.91508	219.24	0.37691	undefined	undefined
-60.880	60.000	1145.7	0.00087284	47.677	48.038	0.24103	0.92898	1.7643	958.28	-0.0024218	undefined	undefined	0.017323	11.105	0.090050	351.66	388.91	1.8469	0.66610	0.93894	219.93	0.35611	undefined	undefined
-57.271	70.000	1133.9	0.00088189	54.020	54.446	0.27068	0.92630	1.7748	935.35	-0.0022611	undefined	undefined	0.016517	12.850	0.077818	352.95	390.50	1.8274	0.67745	0.96121	220.41	0.33917	undefined	undefined
-54.033	80.000	1123.2	0.00089030	59.740	60.231	0.29700	0.92406	1.7852	914.77	-0.0021041	undefined	undefined	0.015801	14.591	0.068537	354.05	391.86	1.8105	0.68776	0.98229	220.75	0.32499	undefined	undefined
-51.086	90.000	1113.3	0.00089820	64.970	65.527	0.32073	0.92217	1.7957	896.04	-0.0019499	undefined	undefined	0.015155	16.328	0.061243	355.02	393.02	1.7955	0.69723	1.0024	220.98	0.31288	undefined	undefined
-48.375	100.00	1104.1	0.00090571	69.804	70.428	0.34238	0.92055	1.8061	878.78	-0.0017977	undefined	undefined	0.014565	18.065	0.055354	355.87	394.04	1.7821	0.70600	1.0219	221.12	0.30237	undefined	undefined
-45.859	110.00	1095.4	0.00091288	74.310	75.002	0.36234	0.91915	1.8166	862.75	-0.0016467	undefined	undefined	0.014022	19.803	0.050496	356.63	394.93	1.7699	0.71419	1.0407	221.19	0.29312	undefined	undefined
-43.508	120.00	1087.2	0.00091978	78.539	79.300	0.38088	0.91792	1.8271	847.75	-0.0014967	undefined	undefined	0.013519	21.544	0.046417	357.31	395.71	1.7587	0.72189	1.0591	221.20	0.28490	undefined	undefined
-41.299	130.00	1079.4	0.00092644	82.533	83.364	0.39821	0.91683	1.8376	833.63	-0.0013471	undefined	undefined	0.013050	23.287	0.042942	357.91	396.40	1.7484	0.72917	1.0772	221.17	0.27752	undefined	undefined
-39.212	140.00	1071.9	0.00093290	86.322	87.223	0.41451	0.91587	1.8482	820.27	-0.0011976	undefined	undefined	0.012609	25.036	0.039943	358.46	397.01	1.7388	0.73608	1.0949	221.09	0.27086	undefined	undefined
-37.232	150.00	1064.7	0.00093919	89.932	90.904	0.42990	0.91502	1.8589	807.58	-0.0010480	undefined	undefined	0.012195	26.789	0.037329	358.95	397.56	1.7297	0.74267	1.1125	220.98	0.26479	undefined	undefined
-35.348	160.00	1057.8	0.00094533	93.384	94.427	0.44450	0.91426	1.8697	795.47	-0.00089803	undefined	undefined	0.011803	28.548	0.035028	359.40	398.04	1.7212	0.74897	1.1298	220.84	0.25923	undefined	undefined
-33.548	170.00	1051.2	0.00095134	96.695	97.810	0.45840	0.91358	1.8805	783.88	-0.00074745	undefined	undefined	0.011431	30.315	0.032987	359.80	398.46	1.7132	0.75502	1.1471	220.68	0.25412	undefined	undefined
-31.824	180.00	1044.7	0.00095723	99.880	101.07	0.47167	0.91298	1.8914	772.76	-0.00059608	undefined	undefined	0.011077	32.088	0.031164	360.16	398.84	1.7056	0.76084	1.1643	220.49	0.24939	undefined	undefined
-30.170	190.00	1038.4	0.00096302	102.95	104.21	0.48438	0.91244	1.9025	762.05	-0.00044375	undefined	undefined	0.010739	33.870	0.029525	360.49	399.17	1.6983	0.76645	1.1815	220.28	0.24500	undefined	undefined
-28.578	200.00	1032.3	0.00096872	105.92	107.25	0.49659	0.91195	1.9137	751.73	-0.00029029	undefined	undefined	0.010416	35.660	0.028043	360.79	399.46	1.6913	0.77189	1.1987	220.05	0.24091	undefined	undefined
-27.043	210.00	1026.3	0.00097435	108.79	110.20	0.50833	0.91153	1.9250	741.75	-0.00013555	undefined	undefined	0.010107	37.459	0.026696	361.05	399.71	1.6847	0.77715	1.2160	219.80	0.23708	undefined	undefined
