Temperature (C)	Pressure (psia)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-30.000	191.05	1037.7	0.00096362	103.27	104.54	0.48569	0.91238	1.9036	760.95	-0.00042770	undefined	undefined	0.010705	34.057	0.029362	360.52	399.20	1.6976	0.76703	1.1833	220.25	0.24456	undefined	undefined
-29.000	197.31	1033.9	0.00096720	105.13	106.44	0.49335	0.91208	1.9106	754.47	-0.00033165	undefined	undefined	0.010502	35.178	0.028427	360.71	399.38	1.6932	0.77044	1.1941	220.11	0.24198	undefined	undefined
-28.000	203.72	1030.0	0.00097083	107.00	108.36	0.50101	0.91179	1.9178	747.98	-0.00023281	undefined	undefined	0.010300	36.329	0.027526	360.89	399.56	1.6888	0.77386	1.2051	219.96	0.23945	undefined	undefined
-27.000	210.29	1026.2	0.00097451	108.87	110.28	0.50866	0.91151	1.9253	741.47	-0.00013107	undefined	undefined	0.010099	37.511	0.026659	361.06	399.71	1.6845	0.77730	1.2164	219.79	0.23698	undefined	undefined
-26.000	217.01	1022.2	0.00097825	110.75	112.21	0.51630	0.91125	1.9330	734.95	-2.6318e-05	undefined	undefined	0.0098982	38.725	0.025823	361.22	399.86	1.6802	0.78075	1.2281	219.62	0.23455	undefined	undefined
-25.000	223.88	1018.3	0.00098204	112.63	114.15	0.52393	0.91101	1.9409	728.43	8.1566e-05	undefined	undefined	0.0096987	39.971	0.025018	361.38	400.00	1.6758	0.78421	1.2400	219.44	0.23216	undefined	undefined
-24.000	230.91	1014.3	0.00098589	114.52	116.09	0.53156	0.91078	1.9491	721.88	0.00019271	undefined	undefined	0.0095000	41.252	0.024241	361.52	400.12	1.6715	0.78768	1.2522	219.24	0.22982	undefined	undefined
-23.000	238.10	1010.3	0.00098981	116.42	118.05	0.53918	0.91057	1.9575	715.33	0.00030725	undefined	undefined	0.0093021	42.566	0.023493	361.66	400.23	1.6672	0.79117	1.2648	219.03	0.22752	undefined	undefined
-22.000	245.45	1006.3	0.00099378	118.32	120.00	0.54679	0.91037	1.9663	708.76	0.00042533	undefined	undefined	0.0091052	43.917	0.022770	361.79	400.32	1.6629	0.79467	1.2778	218.82	0.22527	undefined	undefined
-21.000	252.97	1002.2	0.00099782	120.23	121.97	0.55440	0.91019	1.9753	702.18	0.00054710	undefined	undefined	0.0089091	45.303	0.022073	361.91	400.41	1.6586	0.79819	1.2911	218.59	0.22306	undefined	undefined
-20.000	260.65	998.07	0.0010019	122.15	123.95	0.56201	0.91003	1.9847	695.57	0.00067271	undefined	undefined	0.0087138	46.727	0.021401	362.01	400.47	1.6544	0.80173	1.3049	218.35	0.22089	undefined	undefined
-19.000	268.50	993.93	0.0010061	124.07	125.93	0.56962	0.90988	1.9943	688.96	0.00080234	undefined	undefined	0.0085195	48.190	0.020751	362.11	400.53	1.6501	0.80529	1.3190	218.10	0.21875	undefined	undefined
-18.000	276.52	989.75	0.0010104	125.99	127.92	0.57722	0.90975	2.0044	682.32	0.00093618	undefined	undefined	0.0083261	49.692	0.020124	362.20	400.57	1.6458	0.80886	1.3337	217.84	0.21666	undefined	undefined
-17.000	284.72	985.54	0.0010147	127.93	129.92	0.58482	0.90964	2.0147	675.67	0.0010744	undefined	undefined	0.0081336	51.235	0.019518	362.28	400.59	1.6415	0.81245	1.3487	217.57	0.21460	undefined	undefined
-16.000	293.09	981.29	0.0010191	129.87	131.93	0.59242	0.90954	2.0255	669.00	0.0012172	undefined	undefined	0.0079420	52.820	0.018932	362.34	400.60	1.6372	0.81607	1.3643	217.28	0.21258	undefined	undefined
-15.000	301.64	977.00	0.0010235	131.82	133.95	0.60002	0.90947	2.0367	662.30	0.0013648	undefined	undefined	0.0077514	54.448	0.018366	362.40	400.59	1.6329	0.81971	1.3804	216.99	0.21059	undefined	undefined
-14.000	310.37	972.67	0.0010281	133.78	135.98	0.60762	0.90941	2.0482	655.59	0.0015175	undefined	undefined	0.0075618	56.121	0.017819	362.44	400.57	1.6286	0.82337	1.3971	216.68	0.20864	undefined	undefined
-13.000	319.28	968.30	0.0010327	135.74	138.02	0.61523	0.90938	2.0603	648.85	0.0016755	undefined	undefined	0.0073731	57.840	0.017289	362.47	400.53	1.6243	0.82705	1.4144	216.36	0.20672	undefined	undefined
-12.000	328.37	963.89	0.0010375	137.71	140.06	0.62284	0.90937	2.0728	642.09	0.0018390	undefined	undefined	0.0071855	59.607	0.016777	362.49	400.47	1.6200	0.83077	1.4323	216.03	0.20482	undefined	undefined
-11.000	337.66	959.44	0.0010423	139.70	142.12	0.63045	0.90937	2.0858	635.30	0.0020083	undefined	undefined	0.0069988	61.422	0.016281	362.50	400.40	1.6157	0.83450	1.4509	215.69	0.20296	undefined	undefined
-10.000	347.13	954.93	0.0010472	141.68	144.19	0.63807	0.90940	2.0993	628.49	0.0021838	undefined	undefined	0.0068131	63.288	0.015801	362.49	400.31	1.6113	0.83827	1.4702	215.33	0.20113	undefined	undefined
-9.0000	356.79	950.39	0.0010522	143.68	146.27	0.64569	0.90945	2.1134	621.65	0.0023657	undefined	undefined	0.0066285	65.207	0.015336	362.47	400.20	1.6070	0.84207	1.4903	214.96	0.19933	undefined	undefined
-8.0000	366.65	945.79	0.0010573	145.69	148.36	0.65333	0.90953	2.1281	614.77	0.0025545	undefined	undefined	0.0064450	67.180	0.014885	362.44	400.07	1.6026	0.84590	1.5112	214.59	0.19755	undefined	undefined
-7.0000	376.71	941.15	0.0010625	147.71	150.47	0.66097	0.90963	2.1434	607.87	0.0027504	undefined	undefined	0.0062625	69.209	0.014449	362.39	399.92	1.5982	0.84977	1.5329	214.19	0.19580	undefined	undefined
-6.0000	386.96	936.45	0.0010679	149.74	152.58	0.66863	0.90976	2.1594	600.94	0.0029539	undefined	undefined	0.0060811	71.296	0.014026	362.32	399.75	1.5938	0.85367	1.5556	213.79	0.19407	undefined	undefined
-5.0000	397.42	931.70	0.0010733	151.77	154.71	0.67629	0.90992	2.1761	593.97	0.0031655	undefined	undefined	0.0059008	73.443	0.013616	362.24	399.55	1.5894	0.85761	1.5794	213.37	0.19237	undefined	undefined
-4.0000	408.08	926.89	0.0010789	153.82	156.86	0.68397	0.91010	2.1937	586.96	0.0033855	undefined	undefined	0.0057217	75.653	0.013218	362.15	399.34	1.5849	0.86159	1.6042	212.94	0.19069	undefined	undefined
-3.0000	418.95	922.03	0.0010846	155.88	159.01	0.69167	0.91032	2.2120	579.91	0.0036145	undefined	undefined	0.0055437	77.928	0.012832	362.04	399.10	1.5804	0.86562	1.6301	212.50	0.18903	undefined	undefined
-2.0000	430.03	917.11	0.0010904	157.95	161.18	0.69938	0.91057	2.2313	572.83	0.0038531	undefined	undefined	0.0053668	80.271	0.012458	361.91	398.84	1.5759	0.86969	1.6574	212.04	0.18739	undefined	undefined
-1.0000	441.31	912.12	0.0010963	160.03	163.37	0.70711	0.91085	2.2515	565.70	0.0041019	undefined	undefined	0.0051912	82.684	0.012094	361.76	398.56	1.5713	0.87380	1.6859	211.57	0.18577	undefined	undefined
0.0000	452.82	907.07	0.0011025	162.13	165.57	0.71487	0.91117	2.2727	558.52	0.0043614	undefined	undefined	0.0050168	85.171	0.011741	361.59	398.25	1.5667	0.87797	1.7160	211.09	0.18416	undefined	undefined
1.0000	464.54	901.95	0.0011087	164.23	167.79	0.72264	0.91153	2.2951	551.30	0.0046325	undefined	undefined	0.0048436	87.734	0.011398	361.41	397.91	1.5621	0.88219	1.7477	210.59	0.18257	undefined	undefined
2.0000	476.49	896.75	0.0011151	166.36	170.02	0.73044	0.91192	2.3187	544.02	0.0049158	undefined	undefined	0.0046717	90.377	0.011065	361.20	397.55	1.5574	0.88647	1.7811	210.08	0.18100	undefined	undefined
