Ratio O/F,pc psi,Nozzle inl,Nozzle exi,rho kg/m^3,Tc K,M,gamma,k,c* m/s,Is opt s,Is vac s,Cf opt,Cf vac,c.factor
0.25,250,9,4.73,0,1455.8115,26.7322,1.1657,1.1274,1019.8037,87.6195,107.8313,1.472,1.6588,0.601
0.25,300,9,4.73,0,1462.4015,26.8754,1.1691,1.1263,1021.638,87.6676,107.9128,1.472,1.6592,0.6014
0.25,350,9,4.73,0,1468.433,27.0081,1.1721,1.1252,1023.1632,87.6855,107.9611,1.472,1.6595,0.6016
0.25,400,9,4.73,0,1473.9986,27.1318,1.1747,1.1242,1024.4621,87.6852,107.988,1.472,1.6597,0.6017
0.25,450,9,4.73,0,1479.1688,27.248,1.177,1.1232,1025.5881,87.6734,108.0008,1.472,1.66,0.6017
0.25,500,9,4.73,0,1483.999,27.3575,1.1791,1.1223,1026.5778,87.6543,108.0043,1.472,1.6602,0.6017
0.25,550,9,4.73,0,1488.5332,27.4613,1.181,1.1214,1027.4576,87.6307,108.0016,1.4719,1.6604,0.6017
0.25,600,9,4.73,0,1492.8072,27.56,1.1827,1.1206,1028.2469,87.6044,107.9946,1.4719,1.6606,0.6017
0.25,650,9,4.73,0,1496.8505,27.6541,1.1842,1.1198,1028.9603,87.5766,107.9849,1.4719,1.6608,0.6016
0.25,700,9,4.73,0,1500.6878,27.7441,1.1856,1.1191,1029.6096,87.548,107.9734,1.4719,1.6609,0.6016
0.25,750,9,4.73,0,1504.3397,27.8304,1.1869,1.1183,1030.2036,87.5194,107.9609,1.4719,1.6611,0.6015
0.25,800,9,4.73,0,1507.824,27.9133,1.1881,1.1176,1030.7498,87.4918,107.9472,1.472,1.6613,0.6014
0.25,850,9,4.73,0,1511.1559,27.9931,1.1891,1.117,1031.2543,87.4641,107.934,1.4719,1.6614,0.6014
0.25,900,9,4.73,0,1514.3487,28.0701,1.1901,1.1163,1031.7218,87.4372,107.9208,1.4719,1.6616,0.6013
0.25,950,9,4.73,0,1517.4137,28.1445,1.1911,1.1157,1032.1463,87.4111,107.908,1.472,1.6617,0.6013
0.25,1000,9,4.73,0,1520.361,28.2165,1.1919,1.1151,1032.5519,87.3861,107.8956,1.472,1.6619,0.6013
0.5,100,9,4.73,0,1608.5841,25.1724,1.1573,1.1507,1086.1584,119.851,140.4953,1.4719,1.6494,0.7325
0.5,150,9,4.73,0,1612.5314,25.2404,1.1596,1.15,1090.8057,120.8153,141.5292,1.4717,1.6499,0.7376
0.5,200,9,4.73,0,1616.2651,25.3052,1.1616,1.1493,1094.1187,121.5069,142.2751,1.4717,1.6502,0.7413
0.5,250,9,4.73,0,1619.8104,25.3672,1.1635,1.1487,1096.6964,122.035,142.8499,1.4716,1.6506,0.7441
0.5,300,9,4.73,0,1623.1875,25.4265,1.1653,1.1481,1098.8064,122.4616,143.3151,1.4716,1.6508,0.7463
0.5,350,9,4.73,0,1626.4131,25.4835,1.1669,1.1475,1100.5917,122.8145,143.7019,1.4716,1.6511,0.7482
0.5,400,9,4.73,0,1629.5015,25.5385,1.1685,1.1469,1102.138,123.113,144.0306,1.4715,1.6513,0.7497
0.5,450,9,4.73,0,1632.4646,25.5914,1.1699,1.1464,1103.501,123.3671,144.3132,1.4715,1.6515,0.7511
0.5,500,9,4.73,0,1635.3131,25.6426,1.1713,1.1458,1104.7185,123.5915,144.5625,1.4715,1.6517,0.7523
0.5,550,9,4.73,0,1638.056,25.6921,1.1726,1.1453,1105.818,123.7897,144.7835,1.4715,1.6519,0.7533
0.5,600,9,4.73,0,1640.7016,25.7401,1.1738,1.1448,1106.8195,123.9663,144.9813,1.4715,1.6521,0.7543
0.5,650,9,4.73,0,1643.2569,25.7867,1.1749,1.1443,1107.7385,124.1251,145.1598,1.4715,1.6522,0.7551
0.5,700,9,4.73,0,1645.7282,25.832,1.176,1.1438,1108.5869,124.2688,145.322,1.4714,1.6524,0.7559
0.5,750,9,4.73,0,1648.1213,25.876,1.177,1.1434,1109.3744,124.3997,145.4704,1.4714,1.6525,0.7566
0.5,800,9,4.73,0,1650.4413,25.9188,1.178,1.1429,1110.1086,124.5196,145.6067,1.4714,1.6527,0.7572
0.5,850,9,4.73,0,1652.6927,25.9605,1.1789,1.1425,1110.7959,124.6299,145.7327,1.4714,1.6528,0.7578
0.5,900,9,4.73,0,1654.8797,26.0013,1.1798,1.142,1111.4416,124.732,145.8496,1.4714,1.6529,0.7584
0.5,950,9,4.73,0,1657.0061,26.041,1.1806,1.1416,1112.0501,124.8267,145.9585,1.4714,1.653,0.7589
0.5,1000,9,4.73,0,1659.0753,26.0798,1.1814,1.1412,1112.6252,124.9183,146.0622,1.4714,1.6532,0.7593
0.75,100,9,4.73,0,1765.1045,24.6027,1.1674,1.1646,1145.479,139.3309,160.2364,1.4719,1.6424,0.7955
0.75,150,9,4.73,0,1766.9963,24.6315,1.1684,1.1643,1150.337,140.2822,161.2504,1.4717,1.6427,0.8004
0.75,200,9,4.73,0,1768.8216,24.6596,1.1693,1.1639,1153.7983,140.9857,162.0065,1.4716,1.643,0.8039
0.75,250,9,4.73,0,1770.594,24.687,1.1702,1.1636,1156.4931,141.5414,162.6086,1.4715,1.6432,0.8068
0.75,300,9,4.73,0,1772.3202,24.7139,1.1711,1.1633,1158.7022,142.0054,163.1121,1.4714,1.6435,0.8091
0.75,350,9,4.73,0,1774.0041,24.7402,1.1719,1.1629,1160.5753,142.4011,163.5431,1.4714,1.6437,0.8111
0.75,400,9,4.73,0,1775.6489,24.766,1.1727,1.1626,1162.202,142.7456,163.9192,1.4713,1.6439,0.8128
0.75,450,9,4.73,0,1777.2568,24.7914,1.1734,1.1623,1163.64,143.0464,164.2502,1.4712,1.6441,0.8144
0.75,500,9,4.73,0,1778.8299,24.8162,1.1742,1.162,1164.9288,143.3191,164.5494,1.4712,1.6443,0.8157
0.75,550,9,4.73,0,1780.3699,24.8406,1.1749,1.1616,1166.0966,143.5655,164.8202,1.4712,1.6444,0.817
0.75,600,9,4.73,0,1781.8785,24.8646,1.1756,1.1613,1167.1642,143.79,165.0675,1.4712,1.6446,0.8181
0.75,650,9,4.73,0,1783.3571,24.8881,1.1762,1.161,1168.1475,143.9919,165.292,1.4711,1.6447,0.8191
0.75,700,9,4.73,0,1784.8069,24.9113,1.1769,1.1607,1169.0588,144.1822,165.5021,1.4711,1.6449,0.82
0.75,750,9,4.73,0,1786.2292,24.9341,1.1775,1.1604,1169.9079,144.3586,165.6973,1.4711,1.645,0.8209
0.75,800,9,4.73,0,1787.6252,24.9565,1.1781,1.1601,1170.7027,144.523,165.8794,1.4711,1.6451,0.8217
0.75,850,9,4.73,0,1788.9959,24.9785,1.1787,1.1599,1171.4497,144.6767,166.0499,1.4711,1.6453,0.8225
0.75,900,9,4.73,0,1790.3422,25.0003,1.1792,1.1596,1172.1542,144.8209,166.2101,1.4711,1.6454,0.8232
0.75,950,9,4.73,0,1791.6651,25.0216,1.1798,1.1593,1172.8207,144.9567,166.3612,1.4711,1.6455,0.8239
0.75,1000,9,4.73,0,1792.9655,25.0427,1.1803,1.159,1173.4532,145.081,166.5014,1.471,1.6456,0.8245
1,100,9,4.73,0,1899.4402,24.2223,1.1759,1.1744,1193.3759,153.4118,174.4268,1.4718,1.6363,0.8343
1,150,9,4.73,0,1900.5896,24.2371,1.1765,1.1743,1198.4106,154.3145,175.3842,1.4717,1.6366,0.8387
1,200,9,4.73,0,1901.6579,24.2516,1.177,1.1742,1201.9922,154.9812,176.0984,1.4715,1.6368,0.842
1,250,9,4.73,0,1902.6824,24.2658,1.1775,1.174,1204.7772,155.513,176.6722,1.4714,1.637,0.8446
1,300,9,4.73,0,1903.6773,24.2798,1.1779,1.1738,1207.0579,155.9564,177.1534,1.4713,1.6372,0.8468
1,350,9,4.73,0,1904.6496,24.2937,1.1784,1.1736,1208.9906,156.3329,177.5655,1.4712,1.6374,0.8487
1,400,9,4.73,0,1905.603,24.3073,1.1788,1.1735,1210.6682,156.6669,177.9308,1.4711,1.6375,0.8503
1,450,9,4.73,0,1906.5401,24.3208,1.1792,1.1733,1212.1508,156.9643,178.2569,1.4711,1.6377,0.8517
1,500,9,4.73,0,1907.4624,24.3341,1.1797,1.1731,1213.4796,157.2323,178.5516,1.471,1.6378,0.8531
1,550,9,4.73,0,1908.3711,24.3473,1.1801,1.1729,1214.6837,157.4761,178.8203,1.471,1.638,0.8542
1,600,9,4.73,0,1909.2671,24.3604,1.1804,1.1727,1215.7848,157.6997,179.0672,1.4709,1.6381,0.8553
1,650,9,4.73,0,1910.1512,24.3733,1.1808,1.1725,1216.7992,157.9062,179.2956,1.4709,1.6383,0.8563
1,700,9,4.73,0,1911.0238,24.3861,1.1812,1.1723,1217.7398,158.0979,179.508,1.4709,1.6384,0.8573
1,750,9,4.73,0,1911.8856,24.3987,1.1816,1.1721,1218.6167,158.2724,179.7035,1.4708,1.6385,0.8581
1,800,9,4.73,0,1912.7368,24.4112,1.1819,1.1719,1219.438,158.4402,179.8899,1.4708,1.6386,0.8589
1,850,9,4.73,0,1913.578,24.4236,1.1823,1.1718,1220.2105,158.5981,180.0654,1.4708,1.6387,0.8597
