Time,P_CC,OxyMass,Thrust,P_Tank
0,16.70428635,4.254586819,0.840115304,707.1626264
0.05,130.0647864,4.989733353,341.7047362,702.6528974
0.1,139.9984394,5.068105886,473.9914451,698.6144484
0.15,145.6469874,5.034545975,512.4088085,696.0645554
0.2,147.9843174,4.914803583,545.603112,694.6315574
0.25,148.3738724,4.931889033,562.6244705,694.2024244
0.3,151.7824794,4.942320288,579.4867517,694.1411194
0.35,154.4119754,4.90239376,603.7594205,693.7560494
0.4,159.5735794,4.920270728,615.5179431,694.0300044
0.45,157.0414714,4.926709466,632.5790732,694.0491624
0.5,159.6709684,4.909516061,625.1421698,693.4380304
0.55,159.6709684,4.90455195,640.7848514,692.9188564
0.6,162.7874084,4.903472855,651.9335764,692.4399134
0.65,164.4430174,4.896423128,652.543374,692.1104004
0.7,163.6639074,4.886890892,665.3889348,691.3498384
0.75,163.4691294,4.880560562,668.7560861,691.2674604
0.8,164.2482394,4.877826763,672.7462996,690.5624554
0.85,168.4359564,4.848008079,691.6368223,690.0087974
0.9,171.7471744,4.850453847,708.8968011,689.1524474
0.95,171.6497854,4.826965946,718.786155,688.5355684
1,173.9871154,4.789413518,718.4945119,687.4857254
1.05,173.6949494,4.787327448,724.4466885,686.7596474
1.1,176.9087784,4.757796341,729.1394894,685.3553854
1.15,175.8375024,4.735675113,740.0893701,684.6293084
1.2,177.1035564,4.716934959,747.9769938,684.1158814
1.25,177.2983334,4.686468546,749.8329024,682.2001084
1.3,177.3957224,4.665714444,756.6202367,681.1157814
1.35,180.7069404,4.656362284,791.5643988,679.9299174
1.4,181.8756054,4.614601429,813.9148761,679.2115034
1.45,183.7259914,4.603558732,825.0768568,677.6903794
1.5,185.7711554,4.572013676,844.3518214,676.5102634
1.55,187.3293754,4.545036292,864.1570494,674.9968034
1.6,188.6928184,4.511764412,880.0383469,674.4259034
1.65,187.3293754,4.4907944,925.6009751,673.1001884
1.7,187.8163194,4.439861461,942.8609539,671.8645154
1.75,188.2058744,4.418998951,1053.247919,670.4353494
1.8,189.5693174,4.387993216,1176.838371,669.8088914
1.85,191.2249264,4.383281302,1286.363667,668.8644154
1.9,191.9066474,4.353030798,1336.473279,667.7839194
1.95,193.6596454,4.424214805,1435.181269,666.3317644
2,196.8734744,4.285156652,1418.067112,665.5328874
2.05,197.0682524,4.278609959,1523.284049,664.2550664
2.1,197.5551954,4.277314954,1635.208782,663.3067594
2.15,197.0682524,4.241129652,1720.116743,662.1917804
2.2,198.0421394,4.22224571,1800.013749,660.5001524
2.25,197.5551954,4.181492283,1858.779869,659.2587324
2.3,197.3604184,4.168435184,1962.087879,658.2280464
2.35,198.8212494,4.141674163,1990.218204,656.4578734
2.4,199.4055824,4.10660379,2062.665051,655.1551474
2.45,200.4768584,4.03732623,2112.138359,654.4788804
2.5,202.4246344,4.099771334,2416.508057,653.9673694
2.55,202.5220224,4.116999212,2358.802415,651.9596394
2.6,203.7880764,4.1433647,2419.437677,650.5074844
2.65,204.8593534,3.918950965,2437.824447,648.8158574
2.7,205.6384634,4.46666013,2500.156749,647.3790274
2.75,204.6645754,3.56429237,2538.494467,646.3215214
2.8,206.1254074,4.201276605,2544.764794,644.2524874
2.85,206.8071284,3.955388464,2525.171626,642.6221654
2.9,207.0019064,3.931938665,2730.183805,641.1508524
2.95,206.8071284,4.006789056,2610.755757,638.9266404
3,207.5862384,3.594041655,2660.109843,636.8863434
3.05,207.3914614,4.644565717,2640.331033,635.1487374
3.1,209.2418474,3.581306606,2514.235054,632.9954094
3.15,208.0731824,3.390057704,2651.665342,630.5355584
3.2,208.1705714,3.986826926,2603.994894,628.0661274
3.25,209.3392364,3.535085128,2546.713484,626.0162514
3.3,209.1444584,3.856976237,2599.752809,624.2115944
3.35,209.3392364,3.637417297,2597.406413,622.8149964
3.4,208.6575154,3.658315642,2583.407522,620.7976884
3.45,210.4105124,3.604073296,2449.065971,618.6788444
3.5,210.6052904,3.501056656,2514.420594,617.3588774
3.55,210.9948454,3.420880641,2336.677222,615.5848724
3.6,211.2870114,3.378616299,2394.077921,613.7495624
3.65,211.1896224,3.410701129,2432.415768,611.8931794
3.7,211.9687334,3.327179874,2317.203418,610.3758884
3.75,211.7739554,3.272685784,2247.553656,609.1497944
3.8,212.9426204,3.285059321,2200.744904,607.5558714
3.85,213.6243424,3.225709983,2154.214539,606.2339894
3.9,214.8903964,3.194991825,2148.819137,605.2186294
3.95,214.4034524,3.165712462,2131.320538,603.5902234
4,214.9877844,3.126433662,2128.496901,602.1591414
4.05,216.5460054,3.114096413,2118.819643,601.5039474
4.1,218.1042254,3.085284703,2082.496795,600.7989434
4.15,217.9094474,3.071796238,2048.122655,599.8851204
4.2,218.2016144,3.041329824,2041.679986,598.9827924
4.25,219.5650564,3.033812444,2029.470739,598.9693814
4.3,221.0258884,3.007302713,2021.861498,598.4042284
4.35,221.8049984,2.997051534,2000.054535,597.7241294
4.4,222.9736634,2.981081013,1984.557671,597.4003644
4.45,223.0710524,2.961657296,1971.685594,596.3543524
4.5,224.1423284,2.929284889,1968.968012,595.2872674
4.55,226.7718254,2.916659609,1952.529935,594.7412724
4.6,227.6483244,2.898603019,1941.527027,593.7125034
4.65,228.8169894,2.86119438,1930.391554,592.6205134
4.7,230.0830434,2.84626712,1919.72006,591.5151134
4.75,231.9334304,2.815693205,1907.577096,590.2851874
4.8,232.5177624,2.793715766,1894.585713,588.7870534
4.85,233.7838164,2.766990579,1883.755143,587.2831724
4.9,236.4133134,2.741236078,1868.536666,585.2256344
4.95,236.2185364,2.717891966,1852.734902,583.2485574
5,238.6532554,2.684656373,1840.591933,581.6182354
5.05,238.9454214,2.660520743,1824.843197,580.2982684
5.1,240.3088644,2.630486149,1817.472577,578.0376584
5.15,241.2827524,2.592718264,1805.501945,575.5873864
5.2,242.7435834,2.552432037,1794.061573,573.8497814
5.25,245.4704694,2.516858177,1784.861551,571.5661814
5.3,245.3730804,2.478227108,1775.82061,569.7097984
5.35,245.7626354,2.445099016,1765.003295,567.8974784
5.4,248.0025774,2.408697804,1756.757746,566.0602534
5.45,247.8077994,2.367297102,1758.560631,563.9203364
5.5,250.1451304,2.332946126,1757.659186,561.3704444
5.55,251.2164064,2.293523538,1762.842484,559.4355144
5.6,252.1902944,2.263380989,1763.77044,557.7745404
5.65,253.0667934,2.237591108,1769.271892,555.4775304
5.7,253.9432924,2.209066975,1770.928956,554.1192484
5.75,253.5537374,2.180291553,1776.377385,552.6211144
5.8,257.4492884,2.144645572,1780.288056,551.1842864
5.85,258.7153424,2.123855182,1781.786043,550.0271604
5.9,259.6892304,2.100583191,1772.58602,548.8911074
5.95,260.4683404,2.07288641,1767.972754,547.8221074
6,261.7343944,2.052923373,1763.452286,546.5883504
6.05,264.2665024,2.034579205,1765.851713,545.4331394
6.1,265.0456124,2.017133603,1766.620593,543.8392174
6.15,267.3829434,1.993753657,1759.660921,542.1552544
6.2,268.0646644,1.97922193,1750.315082,541.4655774
6.25,268.4542194,1.948719682,1749.59923,539.9425384
6.3,270.4019954,1.926022846,1744.601521,539.0708624
6.35,273.0314924,1.901096151,1745.184812,538.0420934
6.4,272.3497704,1.882536074,1738.490272,536.9826714
6.45,274.2001574,1.869946628,1728.879301,535.6895254
6.5,274.9792674,1.846962214,1726.201481,534.0975194
6.55,277.2192094,1.847285625,1719.520201,533.2028544
6.6,277.6087644,1.82563205,1719.082737,532.5016824
6.65,279.3617624,1.808114781,1715.967457,531.4039454
6.7,280.7252054,1.799482471,1711.380702,530.3291974
6.75,283.2573134,1.779195569,1702.034863,529.1165144
6.8,282.4782034,1.762145953,1698.667707,527.1528484
6.85,284.0364234,1.730204912,1680.691876,525.5972414
6.9,285.3024784,1.71326325,1683.687845,523.9726674
6.95,286.8606984,1.693624078,1685.026755,522.4208924
7,287.7371974,1.670999362,1678.146627,520.9170124
7.05,288.2241414,1.640460827,1668.774272,519.1698284
7.1,288.4189194,1.612368967,1658.792115,516.6429264
7.15,290.6588604,1.581722931,1647.139642,514.6524404
7.2,290.4640834,1.557911166,1643.136173,512.2060004
7.25,291.4379714,1.519351763,1640.763261,510.7480984
7.3,292.3144704,1.492770365,1633.37938,508.3936154
7.35,292.5092474,1.467771549,1627.718851,506.6828314
7.4,293.4831354,1.446657295,1616.623149,504.7766384
7.45,292.8014144,1.415687394,1609.17299,502.7612474
7.5,292.8988024,1.389897514,1607.409876,501.0121484
7.55,294.2622454,1.356553512,1600.198332,499.2592174
7.6,295.7230774,1.33885662,1596.804665,497.8549574
7.65,295.0413564,1.305045419,1586.822508,496.1518364
7.7,294.7491894,1.278931674,1573.950436,494.6287984
7.75,295.8204664,1.25411248,1566.579816,493.4716724
7.8,296.6969654,1.237099152,1569.429964,491.8720034
7.85,297.1839094,1.215157546,1565.293933,490.0175374
7.9,298.3525744,1.199007403,1555.325036,488.6381824
7.95,297.6708534,1.184331887,1554.158464,487.5136244
8,297.6708534,1.180698615,1548.060466,486.6534434
8.05,299.2290734,1.16296589,1538.038546,485.7626094
8.1,298.7421294,1.152426679,1538.688115,484.8296294
8.15,300.6899054,1.140916329,1532.948043,483.0824454
8.2,300.6899054,1.125161718,1518.896143,481.9866244
8.25,300.9820714,1.11379561,1518.233313,481.0038344
8.3,302.7350694,1.107392705,1513.540508,479.7643304
8.35,301.8585704,1.096422129,1511.419468,479.0746524
8.4,302.5402924,1.092429612,1509.590071,478.0803674
8.45,302.8324584,1.070560127,1504.459801,476.1914174
8.5,302.9298474,1.04851102,1496.837304,474.4806334
8.55,303.6115684,1.030993751,1486.245349,473.6951674
8.6,303.7089574,1.015922249,1487.27936,472.2046974
8.65,305.1697894,1.006930242,1478.530063,471.1471914
8.7,303.0272364,0.997973614,1473.33351,469.7333524
8.75,305.3645664,0.986679173,1465.644731,469.0053594
8.8,303.9037354,0.958766936,1460.16979,467.0187054
8.85,304.4880674,0.943911344,1460.076996,465.4860884
8.9,304.3906794,0.926322407,1448.119625,464.2025214
8.95,304.3906794,0.909596656,1441.478112,462.3384764
9,304.0011234,0.88905801,1440.709233,460.6775034
9.05,303.2220134,0.896108191,1436.255043,458.2368114
9.1,302.8324584,0.877727736,1422.521297,456.5509324
9.15,301.9559594,0.848772237,1416.038862,455.0183154
9.2,302.5402924,0.812335191,1410.77603,452.6350964
9.25,302.4429034,0.789170701,1410.55067,450.8266094
9.3,300.0081834,0.778595658,1409.185249,449.1752144
9.35,301.3716264,0.750791375,1396.472254,447.3130854
9.4,301.1768494,0.729749242,1389.724687,445.2861994
9.45,300.0081834,0.721619966,1386.728717,442.8071924
9.5,298.4499634,0.710253404,1385.442835,440.7477384
9.55,296.5021874,0.701656929,1377.97942,438.9373354
9.6,297.6708534,0.691333629,1377.648005,437.1594994
9.65,296.5995764,0.692736589,1375.712554,435.4832004
9.7,297.2812974,0.690470443,1371.523496,433.7494274
9.75,297.1839094,0.682736699,1363.238179,432.2034004
9.8,296.5021874,0.679319791,1355.337295,430.9025924
9.85,295.5282994,0.687053081,1361.196673,429.1918084
9.9,295.0413564,0.680471007,1362.906764,427.6419504
9.95,295.5282994,0.667917395,1359.168427,426.2664274
10,294.5544124,0.679715323,1341.550522,424.4809284
10.05,294.2622454,0.668960657,1339.429482,422.9349014
10.1,293.8726904,0.664248743,1304.193677,422.1360254
10.15,293.0935804,0.653637412,1222.97103,420.5076204
10.2,292.1196924,0.660327894,1144.055017,418.6205854
10.25,290.8536384,0.659608497,1080.781689,415.6377314
10.3,289.5875844,0.656551287,989.0333796,413.0073774
10.35,288.2241414,0.639357882,911.8009464,410.3118884
